Gene,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_60m_nascent_readcount_donor1_rep2,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000114738,28.8,65.55,36.30045,27.8334,13.392,42.83175,40.318,23.70425,20.39235,15.8718,47.6016,14.4969,31.04075,10.34025
ENSG00000088538,1.345,0,1.7701,1.1285,0,0,0.4334,0,0,0,0.7334,1.9272,1.3243,1.821
ENSG00000145050,0,2.7066,0,1.1448,4.4688,0,2.9502,1.5314,1.902,0,1.4042,2.1128,2.3034000000000003,1.7484
ENSG00000259956,20.0109,19.2864,15.7408,33.287800000000004,28.0746,17.3808,22.1624,20.8858,10.725,11.678999999999998,26.6756,22.0116,17.9977,13.824000000000002
ENSG00000164080,55.544999999999995,36.55935,33.71935,61.8352,36.4518,48.3146,39.54335,33.4831,31.45815,11.032,26.644799999999996,46.0548,21.79455,18.9167
ENSG00000168297,5.6615,2.13283335,10.40369994,5.45563326,5.4405,3.1204,2.1179666900000003,3.69026671,1.49325,0,0,0,2.7456333099999997,4.426
ENSG00000168301,2.635,0,0,0,0,0,0,3.2076,3.3695999999999997,0,1.7427,0,0,0
ENSG00000144724,0,0,0,2.064,0,0,0.8151,0,0,0,3.8904,0,0,0.9394
ENSG00000114405,8.8322,2.2880000000000003,3.1169,0.9205,5.8695,3.78,1.032,0,0,0,2.2575,1.1486999999999998,1.4355,2.4707
ENSG00000164061,0,1.4472,0,0,0.9945,0,0,0,0,0,0,0,0,0
ENSG00000164062,7.7044,7.2144,2.24,5.1296,5.2624,8.852,5.7547500000000005,5.5872,8.2668,2.2524,2.7967500000000003,12.3519,10.548,8.066099999999999
ENSG00000164068,8.040600000000001,7.555499999999999,6.39255,6.945,7.8064,8.6427,7.0168,3.0195000000000003,3.6405,3.2758000199999997,2.0502,7.773300000000001,9.9408,9.982
ENSG00000114933,46.400850000000005,53.128,46.2345,43.83276681,48.675,66.5496,53.94539988,51.09229986,54.11311679,13.2923,46.9327,57.91733321,71.57708319,54.759899999999995
ENSG00000023228,43.95306688,37.4433,29.13295,27.4708,10.49610006,36.60458353,51.50445,42.36375,33.620400000000004,19.17195,38.20865,48.6368,36.21,42.4396
ENSG00000280537,0.63945,1.0563,0,0,0,3.346,0.92395,1.7577999999999998,1.26395,1.7524,0,1.3356,0,1.7125
ENSG00000213901,0,0.539,0,1.5283,2.15,0.1824,0,0,3.7262,5.8017,0,0,0,0
ENSG00000115649,11.98985,11.203,3.6714,10.6941,3.53775,11.03895,12.8915,4.65975,12.9693,12.1583,8.7495,11.6103,0,9.8373
ENSG00000115657,0,5.3531,0,0,0.4305,0,0,0,0,0,0.9432,0,0,0
ENSG00000284820,18.5058,10.18575,8.68775,9.4279,6.2434,13.5604,18.2358,1.6455,13.8919,15.6024,0,0.64,11.4624,14.2656
ENSG00000115919,945.69449184,456.23076196,620.53478641,317.83889999999997,843.4590713399999,747.5537142,639.1182191400001,511.09724292,577.4754447,448.9171620599999,360.20831649,736.2147215300001,835.6162,829.416
ENSG00000075884,1.23,6.5937,3.18695,1.21995,5.4768,0,0,7.02225,5.0825000000000005,0,0,4.9238,9.4299,5.0347
ENSG00000121989,33.5972,17.0534,19.5085,42.931,20.552999999999997,37.6782,14.8662,31.83233363,29.12055,0,41.9364,43.919,41.382000000000005,26.1294
ENSG00000204406,29.059800000000003,13.32675,19.211499999999997,7.751799999999999,15.553999999999998,6.8688,13.566,16.443,14.084,10.20779982,35.4477,6.8092,7.5285,5.1799
ENSG00000135999,26.32,39.315749999999994,26.85405,61.4997,21.3662,44.1692,25.9712,84.0762,17.7045,15.736800000000002,116.58345,52.9236,74.90384999999999,34.227199999999996
ENSG00000123992,22.4694,19.6857,21.8428,28.0904,10.9927,30.6892,19.923,16.0977,24.1224,53.0196,24.359399999999997,15.0142,29.783900000000003,32.8692
ENSG00000123989,0,2.19,0.15239999999999998,1.7424,1.9032,0,0.5928,0,2.505,3.5074,0,18.0787,0.71,1.1128
ENSG00000124006,1.96,0,16.9215,1.0984999999999998,0,0,0,2.5308,0,0,0,0.5993999999999999,0,0
ENSG00000116106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000075914,15.5844,4.521999999999999,8.6868,2.80725,0.4122,9.2036,4.896,9.27165,2.9698,0,5.1988,1.7808,0.999,3.2518
ENSG00000163815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000011376,8.9088,8.24125,10.15875,6.5546,6.1812499999999995,2.7252,2.6620000000000004,0.5439,2.808,0,1.7493,0,0,8.47935
ENSG00000144791,32.0508,68.8758,42.97946649,60.2154,16.6208,35.78609979,33.5508,60.05958305000001,28.0527,78.34774999999999,24.385,37.842,35.8663,45.713350000000005
ENSG00000211456,50.290125,33.756800000000005,33.861599999999996,15.078,14.5264,24.385499999999997,13.57345,51.8602,29.731350000000003,18.9878,17.708000000000002,19.58115,42.1272,27.0756
ENSG00000187957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000153827,75.12855,66.6092,80.59386672000001,88.01640009,87.48115,105.0187,59.8221,45.102,41.5791,7.91445,71.643,54.77945,83.40795,93.85875
ENSG00000163053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000135899,146.17763309,144.4986,153.2065,101.60605,76.433,117.6525,87.3715,97.58,105.301,50.81955,67.424,54.0033,84.7503,93.84466689
ENSG00000135898,0.6972,0,0,0,0,0,0,0,1,0,0,0,2.0457,0
ENSG00000164053,11.469,19.873,15.8787,12.5748,10.469166499999998,17.5808,3.4530000000000003,0,5.6448332599999995,5.5144,8.682599999999999,7.3378,18.3172,12.7135
ENSG00000213689,5.5242000000000004,13.5248,10.322,9.5508,6.585799830000001,11.7363,0,0,5.17423322,6.54,7.525499999999999,0,15.77895,12.8138
ENSG00000177479,68.8901,52.5408331,57.475950000000005,70.44449958,45.8464,58.194375,53.84874975,72.00179964,71.5132,41.11296,64.22090037,79.464,92.775,69.51
ENSG00000178467,8.8086,8.262,8.893099999999999,0,3.63285,8.1158,3.38,8.7648,3.8997,2.1192,4.96485,4.0044,0,4.864
ENSG00000178252,8.409500000000001,21.3486,27.7452,11.8467,12.395,18.28875,22.3406,28.4934,3.656039999999999,10.8333,17.1802,9.6343,24.633,22.6413
ENSG00000188846,133.57933355,59.2346668,173.55775968,57.25615,149.8,137.43340026,85.12295813,62.855599999999995,141.126,94.802625,30.459825,74.62816651,191.69424036,156.74988978
ENSG00000177873,9.9705,3.3200000000000003,7.865950000000001,1.4564,1.8864,9.8762,6.3875,5.6399,7.5068,2.2672,4.0122,0,7.2756,7.9648
ENSG00000145088,7.344,0.8398,4.8594,4.2904,0,0,1.5,0.943,2.0069,0,0,3.5779,0,0.9333
ENSG00000163406,0,0,0,0.5208,0.0894,0,0,0,0,24.1164,0,0,1.4601,0
ENSG00000114013,22.46485,2.3128,13.1176,7.0083,4.502999999999999,8.064,7.3416,10.6572,6.686,0,12.3214,3.619,8.882249999999999,6.4904
ENSG00000003756,73.764,57.7915,46.7259,51.22274985,30.95575,72.952,66.97555000000001,59.9592,39.21538341,25.6462,66.07986684,78.3771,61.2959,95.83933348
ENSG00000001617,2.0516,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188338,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000114353,338.88203999999996,336.63648151,360.10575,283.10608314999996,197.3304,395.454,262.031,220.6974,356.7625,412.19418347,214.7759,227.5307,319.8026,438.0723
ENSG00000163389,111.302,65.2392,76.35029999999999,97.59785,83.2195,99.8905,66.3894,55.7939,71.77545,14.6376,95.3895,115.6578,114.9172,157.2398
ENSG00000113845,9.9855,10.192,5.5680000000000005,15.8198,14.6664,16.146,14.469,0,6.968699999999999,0,0,0.8675999999999999,8.316,2.92
ENSG00000144843,10.97145,6.76755,4.5144,0.2252,2.5926667,15.028533520000002,4.78,3.423,3.5164999499999996,9.595,3.073,6.16910007,9.57323319,12.130666800000002
ENSG00000144837,0.6,0,0,0,0.0903,0,3.5844,0,0,0,7.395,0,0,0
ENSG00000183833,0,1.0382,0,0,0,0,7.836799999999999,0,0,0,2.2946,3.4222,0,0
ENSG00000163914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251287,0,0,0,0,0,0.8728,0,0.54,0,0,0,0,0,0.33345
