Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000053918,226,200.5,167.5,137.5,87,153,132,155,169,195,105,118,94,179
ENSG00000110628,589.1667,613.6667,601.8333,498,391,606,481,505.6667,565.9929,1179.3917,413,643,468.6,592
ENSG00000129744,485,506,623,450,422,492,299,388.5,461,1175,391,434,350,416
ENSG00000148985,1343,1145,1417,862,1305,1370,1088,971.5,1200.3333,1298,896,1216,1113,1457
ENSG00000288675,20,25,18,20,10,30,52,34,23,64,8,58,12,21
ENSG00000177600,8810,7200,7798,4583,6979.5,7350,5010,6518,7069,7590.5,5967,9340,8657,10564.5
ENSG00000177666,13076.5,11792.5,14395.5,8636.5,8745,13222.5,10433,7479.5,10161.5,25653.3333,6110.5,7904.5,8943,11628.5
ENSG00000177685,9,20,30,13,15,11,14,12,5,60,1,25,8,22
ENSG00000177697,2258.6667,2262,2107.1,1791.1667,1432.3333,2097,1411.5,2035.3333,1704,3235,1521.5,2155.2381,1665.5,2046
ENSG00000070047,11759.6667,11293.5,13525,9013.5,7620,12014.5,10166.5,8356,11292.3,30951.5,6672.5,9394,8942,12655.5
ENSG00000069696,66,55,61,48,50,32.5,31,42,94,416,38,22,41,52
ENSG00000177106,34,33,33,30,29,30,43,21,28,37,14,11,12,25
ENSG00000177042,863,819,714,403,553,753,610,629,697,870,414,714,628.5,928
ENSG00000177156,35718.5,32204.5,36085,20574.8333,27495.5,33285.8333,25412.5,22589,27090,33641,19609.3333,28594.5,28525,35039
ENSG00000262655,13,2,11,1,11,9,11,7,15,0,0,4,1,6
ENSG00000152270,425.5,327,374.5,286,455,599.5,518.5,318,325,303.3333,254,538,590.3333,718
ENSG00000175868,0,0,0,0,0,0,7,0,0,0,3,0,0,0
ENSG00000188487,0,1,0,0,0,0,0,0,0,14,0,0,0,0
ENSG00000110696,14117.3333,12839,13284,9668.5,11675.5,12944.3333,10438.5,11623,12919.5,11124.5,11070.5,15420,12780.6667,16578
ENSG00000171714,487,317,404,749,1385,1028,764,310,444,245,1010,1304,1140,1102.3333
ENSG00000148935,118,108,154,30,53,71,85,80,105,29,18,96,58,116
ENSG00000258588,2482,1852,1927,1253,1268,1327,1100,1654.5,1841,1553,1029,1347,1332,1479
ENSG00000258659,2561,2034,2028,1346,1309,1382,1153,1782.5,1899,1398,1098,1404,1342,1497
ENSG00000132274,42236.9333,36909,37468.2361,25276.5,26423,26814.5,23746.4,32985,32231.5,26511,26869.5,28433,23945.5,32779.5
ENSG00000149516,3,9,8,3,12,20,14,3,2,0,10,5,17,4
ENSG00000149534,77,16,30,9,58,10,36,27,44,24,14,37,16,35
ENSG00000110079,729,566,591,405,447,447,331,536,483,275,429.5,531.5,476,543
ENSG00000172742,0,0,0,0,1,0,0,0,0,9.8333,0,0,0,0
ENSG00000166900,3758,3547,3995.5,2432,3059.5,3394,3001,3134,3876.5,3579,2554,3369.5,3537.5,4432
ENSG00000284873,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000214782,0,0,0,0,0,1,0,0,1,0,0,0,0,0
