Gene,t_0m_total_readcount_donor1_rep1,t_15m_total_readcount_donor1_rep1,t_30m_total_readcount_donor1_rep1,t_60m_total_readcount_donor1_rep1,t_90m_total_readcount_donor1_rep1,t_105m_total_readcount_donor1_rep1,t_120m_total_readcount_donor1_rep1,t_0m_total_readcount_donor1_rep2,t_15m_total_readcount_donor1_rep2,t_30m_total_readcount_donor1_rep2,t_60m_total_readcount_donor1_rep2,t_90m_total_readcount_donor1_rep2,t_105m_total_readcount_donor1_rep2,t_120m_total_readcount_donor1_rep2
ENSG00000224051,1149,1115,1174,877,724,1047,903,975,1056,2258,565,820,724,1126
ENSG00000169962,46,74,53,28,19,70,43,60,37,113,17,36,26,41
ENSG00000205116,0,0,1,0,4,0,4,1,0,12.2,3,0,0,0
ENSG00000179403,93.3333,65,74,74,58,96,81,80,68,131,58,98,72,75
ENSG00000215915,9.3333,3.1667,8,0,6.25,1.3333,3.3333,0.8333,6.0833,43.4583,0,9.7619,6.8333,5
ENSG00000157330,0,0,0,0,1,0,0,0,0,9,0,0,0,0
ENSG00000277058,0,0,0.5,0,0.3333,0,0,0,0.1667,0,0,0.1667,0,0.2
ENSG00000204478,3,2,4,4,0,10,0,0,2,11,2,6,4,0
ENSG00000158109,2111.25,2037.75,1765.25,1488,1437,1892,1372,1591.25,1629,1521,1163,1952,1517,1930
ENSG00000078900,44,58,72,29,37,81,60,44,32,126,19,61,35,73
ENSG00000162592,19,7,10,19,22,9,0,10,11,34,16,5,9,34
ENSG00000235169,85,52,58,42,29,32,38,76,49,137,14,51,41,38
ENSG00000169598,472.5,488,477,357,267.5,318.5,322,540,457.3333,803.375,300.5,413,254,386
ENSG00000160072,1311.1667,1420.5833,1258.0833,1095,999.25,1337.6667,1229.5833,1360.25,1137.5,3313.1667,892,1471.1667,885.6667,1508.5833
ENSG00000197785,493.3333,725.1667,704.3333,622,349.0833,683.8333,583.8333,569.4167,653.5833,1968.25,397.0833,714.8333,440.6667,712.1667
ENSG00000197530,1588.3333,1972,1951,1878,1269,2235.5,1621,1762.5,1484,6850.6667,1321,1986,1389.5,2114
ENSG00000189409,37.8333,52.1667,59.8333,33.5,26.5,48.8333,31,44.8333,29.8333,160.8333,38.8333,36,30.5,58
ENSG00000169885,0,0,7,5,2,11,6,4,0,6,0,2,1,5
ENSG00000162426,1,0,5,2,3.5,2,0,5,4,7,0,1,0,2
ENSG00000131686,0,0,0,1,0,0,0,0,0,0,0,3,0,0
ENSG00000251503,125,74,84,44,64,86,96,64,94,139,84,67,117,155
ENSG00000175279,212,124,169,99,136,159,175,161,149,128,126,153,147,244
ENSG00000241563,13,19,8,6,13,8,8,6,7,44,15,9,14,20
ENSG00000142655,2312,2446,2475,2173,1693.5,2506,1984,1721,2127,5471,1830,2276,1756,2466
ENSG00000120948,10105.5,8708.5,9068.5,6912.5,8662,8252.3333,7483,8594,8623,4602.5,7734,10756,8319.5,10599
ENSG00000179023,4,4,0,0,0,2,0,2,9,21,10,2,3,0
ENSG00000053372,1222,1126.5,1102,650,1026,980,699,738,930,1194,680,863,804,1103.1429
ENSG00000040487,1764,1695,1831,1232.5,1190,1611,1118.5,1278,1353.5,3366.5,977,1452,1104,1493
ENSG00000173436,1261.5,1174.5,998,1138.5,1259,1360.5,945,1819.5,1326.5,930.5,2097,3088.5,1573.1,2001.5
ENSG00000158828,5324.5,5339.5,5552.5,4320.5,4530.5,6648.5,5266,4456,4514.5,7989,3397,5581.5,4863,6385
ENSG00000142794,452.5,368,353.3333,324.5,400.25,352,338.3333,336.3333,328.8333,374,277,410.5,308,380.8333
ENSG00000162551,23,13,13,7,7,31,13,12,11,28,4,18,13,20
ENSG00000289715,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000187942,11,17,16,5,1,36,15,6,8,60,15,5,14,22
ENSG00000158747,5317,5568,5543,4977,5473,8421,5810,5226,4146,11795,3997.5,8710.5,5636.5,7427
ENSG00000065526,64783.6667,53105.75,67909,32057.5,40267,52046,46817.8333,38018.5,58431,62749.6667,30276.75,37184.5,45687,62034.5
ENSG00000186510,10,10,12,7,14,13,4,6,17,11,5.5,3,16,6
ENSG00000160050,929,840,756,644,480,638,465,803.5,842,1260,455,787,545,623
ENSG00000160051,143,127,162,71,98,130,62,112,149,253,92,65,99,150
ENSG00000222046,151.5,93,118,63,72,114,123,78,109,185,58,118,89,100
ENSG00000084623,6884,6490.6667,6699.5,4806,5768.5,6697,5813,4716.8333,5767.1667,7690.2917,4524.5,5779.2222,5733.5,7591
ENSG00000183615,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180098,1860,1405,1455.5,1079,1359,1610,1357,1604.5,1544,1480,1037,1979.4,1610,1938.5
ENSG00000188060,478,480,434,330,203,263,166,361.5,337,576,196,246.5,195.5,267
ENSG00000162419,2104.5,1824,2356,1941,3296.5,3765.5,3155,1620,1982,2498,2064,3438.5,3197.5,4233
ENSG00000198492,7554.5,7182.5,6621.1667,5034,5577.6667,6956,5528.8333,5726.3333,6132,4224.5,4662.5,5821,5647,7792
ENSG00000116329,30,27,12,13,28,11,15,18,34,67.5,8,16,12,18
ENSG00000189280,44,30,63,33,22,44,20,27,35,73,21,41,30,41
ENSG00000189433,45,38,36,29,19,40,11,46,33,59,40,51,28,22
ENSG00000188910,53,46,59,34,34,33,28,39,49,110,21,49,30,29
ENSG00000187513,100,150,185,115,93,112,136,112,114,368,66,86,114,193
ENSG00000149527,74,117,98,115,54,123,93,118,100,454,92,178,102,114
ENSG00000157873,13564.3333,14403.25,14569.5,12000.5,10953.5,17032,14488.5,12021,10494.5,31546.5,9368,14220,12086.3333,18305
ENSG00000157870,778,786,847,689,474,845,734,643,575,1507,435,658,535,695
ENSG00000142611,0,0,9,4,1.2,9,11,2,1,8,0,0,1,5
ENSG00000130762,9,2,0,1,3,1,1,1,2,9,0,1,3,0
ENSG00000173662,3,4,4,0,2,9,0,1,7,0,0,0,1,0
ENSG00000204859,2723,2621.5,2786,1789.5,1473.5,2071.5,1676.5,2441,2162,5195,1472,1833.5,1410.5,2005.5
ENSG00000116273,1111,891,765,583,793,1297,1007,1095,805,1076.5,469,1138,1000.5,1400
ENSG00000041988,2482,2235,2288.5,1519.5,1496,2378.5,1842,1844.5,2061,3812.5,1189,1787,1791.5,2772
ENSG00000171735,1961.5,1320,1564.3333,902,1545.5,1190.5,1046,1151,1717.8333,826,1157,1632.5,1630,2108.5
ENSG00000158786,6,0,0,0,0,0,0,0,0,3,0,0,0,0
ENSG00000162543,0,0,0,1,1,5,0,1,0,6,0,0,3,0
ENSG00000158825,176.8,198,308.6667,127,237,289,142,113,131,138,115,182,243,235
ENSG00000049245,8055.3333,6782.5,7051.6667,4856,7713.8333,6772.8333,5896.6667,5660,6712.6667,3322.6667,5276.3333,6552.8333,7474.6667,9024.6667
ENSG00000049246,3192,2616.5,2913,1716,2021.5,2131.5,1519,2161.5,2826.5,2449,1657,1648.5,1830.5,2328.5
ENSG00000116288,7585,7116.5,6852.5,5954.5,5877,6886,5359,7106,6471.5,4833,6625.6667,9847.5,6951,8800.5
ENSG00000142684,346,322,388,251,293,383,247,267,387,721,242,365,311,550
ENSG00000142634,39828,42616.1667,43720.5,32335.6667,24648.8333,41844,36364.5,33010.5,38885.5,74515.5333,25112.5,36495.5,31297.5,45942.1667
ENSG00000162438,7,6,10,1,8,3,8,5,12,14,13,7,9,4
ENSG00000142615,0,0,1,0,5,0,0,0,0,0,0,0,4,0
ENSG00000215704,16,0,5,9,12,7,3,2,9,0,0,0,10,10
ENSG00000116138,5423.6429,4720.3333,5297.5667,2931.5,4139.5,3929.5,3463.3333,3771,5066,2815.5,3481.6667,3718,3873,4866
ENSG00000142675,8,5,8,2,5,1,0,2,4,10,0,0,1,3
ENSG00000130695,1092,1187.5,1243,707.5,567,513,438,797,1112,1153,621,533,454.5,489
ENSG00000142669,13417,8844,12111,4553,9494,8916,7278,4499,9513.5,9830,3824,5322,8380,10752
ENSG00000169442,3142.1667,2674,3022.8333,1560.6667,1946.3333,2855.3333,1639.8333,1765.6667,2942.5,1671.3333,1674.5,3128.5833,2329.3333,3122.3333
ENSG00000011009,3250.5,3747,3764,2878.5,2301.5,3569.5,2750,2957.5,2815.3333,4481.1667,2695.5,3351,2428.8333,3535.1667
ENSG00000189266,17433.8333,14180.6667,16982.5,14743,19442.5,19113.8333,15025,13528,16391.6667,4916.5,19757.5,24486.1667,20296,23753.6667
ENSG00000158055,14,4,6,1,13,1,3,3,2,15,5,5,12,8
ENSG00000001461,3746,3455.5,3660.4,2410,2806,3001,2478.5,2933.6667,3296.5,3360.5,2550,3101,2667,3724
ENSG00000117602,1629,1299,1344,860,1061,1291,1032,1237.3333,1448.5,862,865,1137,1288,1707
ENSG00000197056,1197.8333,942,1006,535,919,746,675,1064,1126.5,1574,657.9,930,903.5,1136
ENSG00000182866,89,99,103,66,97,94,88,64,61,88,32,66,80,61
ENSG00000116478,6210.5,5380.5,5806.3333,4104,4505.5,5153,4371,4694,5495.5,4780.3333,4104,5927,5164,6430
ENSG00000162526,261,200,218,112,211,147,134,117,166,255,123,109,165,217
ENSG00000273274,0,0,2,0,0,0,0,0,5,3.5556,0,0.2222,0,1
ENSG00000254553,23,6,25,14,9,10,22,2,22,4,13,13,8,26
ENSG00000159023,9632,7888.5,8938.5,5250.5,6392.5,6909.5,5825,6082.6667,9006.8333,7811.0611,6338.5,6842,6568.1667,8134.1667
ENSG00000060656,48,56,45,21,36,52,74,36,51,73,65,47,27,37
ENSG00000121766,2173,1890.5,2010,1362,2365.5,2654,2077,1319.6667,2008,1003.5,1551,2365,2272,2944.5
ENSG00000168528,313,266,267,162,177,238,188,200,253,384,123,226,219,236
ENSG00000142910,0,1,0,0,0,0,0,0,0,4,0,10,0,0
ENSG00000142920,728,624,593,497,569,812,715,594,536,777,441,659,655,732
ENSG00000160094,4037,3508.8333,4271.8333,2361,2199.5,2759.1667,1796,2445.5,3690.5,5729,1950.5,2386.5,2301.5,2791.5
ENSG00000121903,2351.5,2104.5,2013,1112,1453,1830,1870.5,1826,2046.3333,2055.4,1048,1412,1539.5,2188
ENSG00000159339,3,3,1,1,7,0,5,2,4,10,4,9,1,6
ENSG00000074964,23714,26378.5,27082.1667,18014.5,13417.5,23892,24919.5,18644.1667,20143,54563.6667,12539,16407.5,16180.5,27516
ENSG00000196581,0,2,0,0,0,3,0,0,4,12,0,0,0,0
ENSG00000069424,4224.7667,4278.5,4940.2,3501.5,2933.2,4121.3,3224,3167.25,3768.1167,8563.8357,2701.25,3693,3062.0667,3632.8
ENSG00000158286,75,58,82,56,82,91,90,60,60,168,83,89,66,126.5
ENSG00000187017,3,4,8,7,1,14,2,4,3,8,0,6,4,8
ENSG00000171819,165,115,143,72,89,88,113,95,144,177,78,86,91,141
ENSG00000120942,1402,1126,1226,1034,1133,1065,1038,1027,1055,1278.6,898.6667,1172,942,1264.8333
ENSG00000204624,3,5,1,8,7,19,0,2,1,1,4,3,4,9
ENSG00000132879,1946,1622,1915.1667,1151,1117.5,1514,1227,1340,1326.5,3286.4,970,1351,1120,1562
ENSG00000116663,8894.5,7465.8333,7589.6667,5366,5144,6734,5548.5,5120.5,6044,8110.125,4345.8333,4920.8333,4808.7,6516.8333
ENSG00000186092,1.5,1.25,5.5,0,0,0,0.25,8.5,6.3333,0,0,0,1,4
ENSG00000187634,155,103,87,46,99,98,50,79,89,653,58,92,87.2,140
ENSG00000187961,212,328,319,182.5,196,267,197,203,191,557,133,162,130,283.5
ENSG00000187583,188,206.5,187,116,79,125,104,137,172.6667,418,91,108,159,166
ENSG00000187608,14538.5,15100.3333,13099,16450.1667,7238,12781,11032.5,17192.5,9495.5,28864,13039,14266,7522,12098.5
ENSG00000067606,29,22,42,31,40,14,15,20,23,47,12,44,10,50
ENSG00000157933,1580,1627,1834,1385.2,1339,1694.5,1087,1311.5,1444.1667,2971,1111.3333,1730.5,1368,1603.5
ENSG00000157916,8092.5,7558.5,7469,5927.5,6301,7816.5,6492.5,7241.5,6138.5,6633,5593,8389.5,6454,8469.5
ENSG00000117000,7001,5641,6704.5,3711.5,6753,7081.5,6042,4754.5,6412,2579.5,4898.5,6481.5,7670,8728
ENSG00000066135,6012.5,5285,5710,4513.5,4292,4940.5,3980.5,4474,4886.5,5871.2,3999,4291,3952.3333,5273.5
ENSG00000284989,2416.5,2146,2143.5,1790.5,1930,2054.5,1709,1722,1807.5,2673.5,1552.5,1736.5,1538.1667,2072.5
ENSG00000126091,2021,1734,1980.5,1275.5,1508,1574,1262.8333,1522.5,1789.5,2334.8333,1276.5,1509,1327.5,1728.5
ENSG00000117407,11,10,14,3,14,4,9,13,2,39,11,19,15,3
ENSG00000117408,3268.5,2965,3133,1932,2145,2471,2268,1986.5,2477,3855.3333,1420,1781,1808.5,2462
ENSG00000173846,7752,7648,9383,8828.6667,6259.5,7720,5908,5858,6608.5,13059.5,6776.3333,6547.5,5344.5,7424.5
ENSG00000222009,1092,918,1089,1005,1240,1078,896,1004,1084.5,4957.5,1400,1589,1013.5,1460
ENSG00000126088,3363,3104.5,3018,2227,2298,2794,2480,2414.5,2502.5,2936,1883.5,2991,2448,2929
ENSG00000186603,45,26,44,45,21,43,17,41,33,79,42,43,42,42
ENSG00000132773,1244,1006,1353,875,1131,1274.5,985,812,1085,1196,819,1009,1026,1175
ENSG00000186160,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000162365,6,2,2,4,2,1,11,5,3,0,0,1.5,0,11
ENSG00000162368,6468,4805.5,5723,3310,5496,5077,4453,4873.5,6120,2119,3936,5377.5,5668,6948
ENSG00000186790,8,0,8,1,0,0,1,0,0,0,5,5,0,3
ENSG00000186564,38,32,28,46,24,40,28,24,37,79,34,42,24,22
ENSG00000162398,5,7,4,1,7,0,2,3,13,43,1,0,7,5
ENSG00000143001,102.5,48,59,40,69,39,34,50,99,106,57,58,49,79
ENSG00000162399,0,0,0,0,6,0,0,2,1,0,0,0,0,8
ENSG00000169174,11,7,21,2,10,18,3,5,16,22,0,0,4,18
ENSG00000060642,1601,1462,1394,1163.5,1458,1586,1142,1556.5,1199,1109,943.5,1800,1145,1644
ENSG00000204160,4575,5763,5420.5,4430.5,3352,4801,4058.5,4804.5,4488.8333,7649,3813,5073,3380,5415
ENSG00000175793,22,16,3,7,2,25,15,13,11,9,6,13,12,18
ENSG00000090273,3322,2866,3035.5,2124,2170,2759.5,2257.5,2462,2690,4405.5,1855.5,3166.5,2536,3166.4333
ENSG00000253368,5,12,6,10,5,8,13,7,10,29,4,7,2,10
ENSG00000133216,5241,4213,5286,3343.5,3378.5,4211,3317,3252.5,3935,5630,2278,3005,2983,3691
ENSG00000004487,6276.6667,5428.8333,6141.5,3544,4947.1667,5318,4822.5,4399,5489.8333,4749,3562,4768,5214.6667,6490
ENSG00000142676,34062,21778,29145.5,11172,21356.3333,23926.6667,21409.8333,12592.6667,24243.6667,10937,11238.5,18216.1667,21091.6667,25853.3333
ENSG00000011007,15776,12899,15097,8590.5,11542.5,13216.5,11157,9256,13588.5,11129,8409,10637.5,11614.5,14849.5
ENSG00000057757,2757,2486,2675,1630,1749,1976,1657,2105,2561,1573,1646,2107,1937,2595
ENSG00000142784,11690.5,10190,12028,7914,8380.6667,11510,9185.5,7450.5,9472,14494.5,6075.5,8630.5,8548.5,11238.5
ENSG00000186501,3160,2649.3333,2881,1985,2289,2904,2383,2082.5,2645,3927,1737,2352,2567.5,3351
ENSG00000142765,110.6667,102,130,78,59,60,47,108,84,313,71,45,89,98
ENSG00000181773,27,16,26,1,18,8,9,17,22,52,0,0,7,16
ENSG00000009780,749,709,671,418,458,485,426,637,716,385,438.5,531,411,713
ENSG00000162458,79,64,75.5,36,34.5,49,54,61,50,180.1667,34,55,28,36.5
ENSG00000055070,16584,16225,16895.5,14670.5,12799,19766.5,15415.5,14253.1667,16398,19960.5,14589.3333,18632.5,16790.5,21225.25
ENSG00000157191,17947.3333,16888,17417.5,13875.3333,13024.8333,18215.5,14906,15015.8333,14809.8333,17359.1667,12291.5,18567,14208,18393
ENSG00000058453,865.1667,783.8333,935.5,548.3333,477,659,618.3333,646,681.5,2500.8333,424,725,489.1,745.3
ENSG00000049239,38272,33412.5,38446.5,29050,34610.5,44316.5,34991.5,28014.5,31391.5,62563.3333,24978,36339,33513.5,43437.5
ENSG00000171621,2412,2004,2245.5,1687,2060,2458,2245,1724,1797,3171,1574,2177,1976,2390
ENSG00000171612,628,622.5,514,575,597,643.5,544,649,542.6667,681.5,703.8,828.875,604,749.8333
ENSG00000188807,216,179,276,136,107,140,161,162.5,180,504,154,165,96,161
ENSG00000171608,2449,2513.5,2560,2212.5,2130,2758.5,1882,2132.6667,2000,4220,1864.5,2270,1819,2691.5
ENSG00000204178,3675.5,3163,3561,2000.5,2669,3356,2513.5,2332.5,3312,2070,2161,2995,3077,4085
ENSG00000157978,836,754,948,461,501,616,493,558,788,1144,354,443,510,643
ENSG00000117643,541,516,521,446,236.5,339,284,496.5,478,967,349,451,311,425
ENSG00000162430,10561,8961.5,10152.5,6462.5,6268,8576.5,7275.5,5950,8711.5,13668,4929,5437,6250.5,8754.5
ENSG00000255054,180,107,157,71,204,67,100,62,124,532,48,92,116,130
ENSG00000197312,10607.5,8945.5,9706.8333,4044,4687.5,4891.8333,5123,7435,9322.5,5263,4303,4416,4777,7016.5
ENSG00000215695,4286.5,2935,3989,1128,1883,1771,2013,2018,3648,1409,1136,1148,1729,2488
ENSG00000116786,31694,28904,32244,22452.5,22567.5,31616.5,26271.3333,19620,25481.5,57539,18458,23990,21558.5,29296.5
ENSG00000162461,338,174,237,170,215,239,156,226,245,787.5,182,243,201,321.6667
ENSG00000270136,609,406,459.5,264.5,748.5,597.5,450,356.5,461,968.5,450.5,957.5,500.9,653
ENSG00000158748,69,92,108,64,17,10,39,53,84,196,37,27,27,43
ENSG00000169914,566,619,587,323,381.5,553,444,610,535,415,380,613.3333,541,687
ENSG00000162490,232,175,268,122.5,164.125,218,176,168.6,186,537.1111,168,255.6667,197,221
ENSG00000177674,5861.5,5665,5683,4057,4124,5303,3657.5,4204,4449,6760,3059,4184.6667,4050.5,4929
ENSG00000215910,385,313,361,321,338,309,257,366,328,974,421,436,197,397
ENSG00000011021,8624.8333,7214.1667,8329,4757.5,5791,6342,6462,5501,7168,7763,4058,5336,5456,8006.5
ENSG00000083444,9118,8493.5,9808,6680,7236.5,9869.5,7800,5727.75,7552.5,13230,5153,6947.5,7192,9009.5
ENSG00000188157,28604,35027.8333,34826.1667,33010.3333,19883.8333,36222.5,29191,29387.6667,24308.75,100410.5,21840.3333,30997,21789,29948.5
ENSG00000162571,1,1,0,7,0,2,8,1,2,8.3333,0,11,1,12
ENSG00000176022,1940,1946,1886.2,1806,1229,1933.5,1435,1828,1552.5,3393,1297,1868,1415,1877
ENSG00000162572,49,16,45.6667,30,23,47,25,33,20,99,21,26,35,41
ENSG00000169972,279,378,297,262.5,147,288,223,300.5,226,507,253,257,167,291
ENSG00000117640,3961,3689,3712.5,2864.5,3167,3582,3127,3371,3306,3827,3048,3438,3194,3952
ENSG00000158008,10,3,3,2,8,7,3,14,7,25,0,10,9,3
ENSG00000175087,920,927.5,742,343,321,293,374,882,783,287,332,297,359,444
ENSG00000197245,0.3333,0,0.25,0,0.1667,0,0.25,0,0.2,18.6611,0,7.5333,0.5,0.225
ENSG00000177181,48,52,61,20,9,10,20,43,62,41,9,17,26,27
ENSG00000127125,2809,2433,2452,1474,1983,1901.5,1742,2178,2546,1234,1610,2277,1974,2740
ENSG00000186409,556,483,570.5,273.5,269.5,281.5,220,348,583.4,466.9778,329,269,262,306
ENSG00000164002,433,337,349,248,306,279,274,294,322,269,227,279,313,413
ENSG00000117010,374,303,288,138,168,191.5,157,278,239,87.125,149,204,201.5,293
ENSG00000066136,6806,5687.3333,6653.5,3763.5,5515.1667,6177.8333,5082.5,3448.1667,5569.3333,4941,3268,4845.5,5299,7051
ENSG00000117013,35,23,26,17,18,118,185,8,26,36,7,28,123,297
ENSG00000171793,1607.5,1273,1349,1096,1039,1091,883,1253,1260,967.6667,933,1364,993,1299
ENSG00000164010,2467,2032,2301,1383,1944,2009,1580,1772,1971,1761,1571,1750,1648,2141
ENSG00000164011,1624,1280,1227,511,754,973,1020,886,1465,970,447,616,937,1275
ENSG00000243710,0,1,0,1,1,2,4,0,0,4,6,0,1,0
ENSG00000179178,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
ENSG00000121764,113.5,89.5,133,55.5,76,92,78,62,88,129,32,80,51,122
ENSG00000121774,12878,10733.5,11813.5,8321.5,10464.5,11842,9549,9874.5,10954,10630.5,8074.5,11496.5,10378.6667,13459.5
ENSG00000121775,848,776.5,767,471,506,669.5,572,446.5,635,731,389,460,539,683
ENSG00000025800,13476,11540.6667,12329,8021.3333,10999,11202.5,9564.5,9228,11646.8333,8592.1667,8463.5,10891.6667,10522.3333,13844.5
ENSG00000197587,3,5,13,5,2,0,4,4,1,11,2,2,9,0
ENSG00000186118,51,51,94,20,48,68,66,21,57,56,3,51,33,78
ENSG00000186377,10,11,3,11,9,15,13,8,7,7,18,3,14,16
ENSG00000117472,17,5,7,7,19,5,20,12,18,24,27,21,12,8
ENSG00000085999,138,97,114,69.5,86,94,71,82,73.5,156,50,83,64,70
ENSG00000173660,1907.5,1268,1527.5,897.5,1465,1479,1070.5,1205,1484,965,1006,1683,1611.5,2110
ENSG00000117481,3762,3359.5,3997.5,2816,3020.5,3054,2683,2585,3153,3097,2528,3065,2718,3714.5
ENSG00000188800,0,1,0,0,3,0,0,0,2,2,0,0,0,3
ENSG00000084073,5525.1667,5011.5,4896.5,3601,5074.6667,4690.5,3961,4934,5821.5,1948,4503.5,6161.5,5588,6390
ENSG00000084070,25373.5,21542.5,24632.6,14689.5,17287,18485.5,15395.5,15676,21723,19058,13627.5,15517.5,16244.5,19713.5
ENSG00000187801,143,117,132,79,56,46,18,101.5,179,123,79,70,59.1667,101
ENSG00000187815,248,204,225,58,98,110,112,176,212,48,77,111,110,143
ENSG00000183682,667.5,620,645.5,608,613.5,634,516.5,611.5,510,1166.5,633,769,524,536
ENSG00000084072,1574.5,1513,1588.5,1063,1228.5,1322,1042,1320,1329.5,1345,1080.5,1387,1225,1599
ENSG00000168389,1420,1345,1311,1234,1573,2032,1753,1065,1150,1687,1157,1577,1589,2114
ENSG00000131236,43648,36769.75,39821.6667,27704.6667,34853.8333,40482.2667,34880.0833,29075.3333,38051.25,23505,26927.1667,35988.6667,37122.8333,47120.6667
ENSG00000065978,41025.4833,39448.5833,38166.3333,26480.5,26653.5,41423.8667,30267,27207.4167,42313.8333,25693.5833,24545.4167,37531.5,35876.5833,47967.2167
ENSG00000164008,1231,1054.5,978,616,840.5,900,762.5,877,979,1217,667,950,888,1220
ENSG00000283580,304,278,249,118,244.5,235,219.5,142,213,251,169,117,154,248.5
ENSG00000274386,20,10,8,6,12.5,8,6,13.1667,14,28.8333,40,2,6,17
ENSG00000162493,80326.75,60652.5,78081.9167,40587.75,69430.1667,75186.5,60572.5,44374.5,68924.1667,48559.8333,41864.5,59954.75,77550.75,89157.0833
ENSG00000116731,30996.1667,24937.5,30667.5,16376,26239,28032,23036,17124,27694.5,22558,18129.5,22579,26692.1667,34104.5
ENSG00000189337,115,102,80,86,62,92,67,77,79,112,57,93,62,84
ENSG00000171729,3976.5,3783,4227,2656.1667,2593.5,3528.5,3243.5,2869,3786.5,4448.5,2500,3096,3123,4355.5
ENSG00000142621,107,71,120,69,63,76,52,69,93,131,84,77,71,59
ENSG00000066056,92,99,88,91,86,128,65,74,76,234.5,58,103,106,108
ENSG00000117400,88,67,42,22,17,36,37,46,86,102,45,48,28,28
ENSG00000117399,230,182,184,147,89,101,62,186,164,235,114,169,98,109.5
ENSG00000198198,16021,14565.8333,16662,10775,11917.5,14384,12899.5,11805.8333,13612,25576.5,9083,11080,11183.5,14923.5
ENSG00000142949,1110,1026,1137,723,756,1042,746,810,919.5,1696,636,708.5,668,836
ENSG00000117480,207,201,214,191.5,145,270,156,184,174.5,622,184,198,159,206.5
ENSG00000084652,16658,15231.5,16418.5,10173.5,10593.5,13731,10610,12076,13783.5,18877.5,9625,12914.5,10729.5,15311
ENSG00000117758,8169,7214.8333,7993.5,5563,8611.5,8016,6484.5,6483,7679,3569.5,6794,9277,8267,10086
ENSG00000117751,4398.5,3670,4074,2646,3117,3666,3141,2724,3625,2229,2536,3128,2906,3676
ENSG00000130775,49748.8333,40895.5,46414.5,31467,31344.0833,43009.8333,34595.3333,32964.8333,39242,58683,26358,33974,32088,41710.8
ENSG00000130768,7,5,4,0,6,0,6,8,0,7,0,2,2,0
ENSG00000158156,1310,1395,1293,916,732,1264,1031,1333,1092,1848,716,952.5,845,1225
ENSG00000146463,9775,8454.8333,9528,5136.5,7099.5,7455,6744,5955.6667,8730.5,4014,5406,5932,6773,9566
ENSG00000020129,2921,3098.5,3222.5,2724.5,1974,2865.5,2450.5,2473.5,2403,5740,1717,2434.5,1803,2650.5
ENSG00000116819,271,224,297,111,174,283,198,210,290,446,59,170,203,292
ENSG00000134698,7891.8333,6625.5,7105.5,4809.5,5304.5,5353.5,4687,6399.3333,6210.5,4714.4,4936.5,5421,4873,6681
ENSG00000092847,9501,8421,10114,5637,6252.6667,7298,7078,7092,8979.5,8531,5555,6813,6495.5,8462
ENSG00000132768,1160,1019,1014,831,800,836,703.5,920,800,1384,684,812,653,870
ENSG00000117410,9097,9626.6667,8385.8333,9820.3333,7434,9327.6667,6688,10916.6667,7637.5,8704,10330.5,14677.3333,8189.5,10261
ENSG00000117411,138,107,145.25,73,83,107,76,109,87,230,73,101,90,110
ENSG00000159214,210,230,214,174,153,200,155,217,195,672,118,228,182,201
ENSG00000171960,1074,702.3333,1019,315,637,711,690,637.8333,818,747.7143,523,686.6,666.5,989.5
ENSG00000178028,2998,2471,2936,1734,2102,2736,2306.5,1941,2583,3571.5,1388,2341,2289,3085.5
ENSG00000187147,6204.5,5249.5,6148,3525,3510,4899,4492,4059,5661,8896.0833,2946,4612,4146,5328.5
ENSG00000198520,10,8,2,3,7,7,8,6,3,9,0,5,3,2
ENSG00000142945,348,304.5,314,177,139,205,154,276,288,210,173,175,144,100
ENSG00000142937,14543.3333,12329.3333,12965.8333,7806.75,11347,12413,9530.8333,9253.5,10374.5,8530,7528.5,11036.5,11783,15338
ENSG00000117834,8,3,6,0,2,10,6,7,15,15,0,10,9,5
ENSG00000162374,6,5,3,4,9,1,9,1,0,14,24,0,2,4
ENSG00000123080,488,516,542.5,445,298,434,328,514,446,787,405,473,316,416
ENSG00000123091,4557,4424.5,4479,3262,4001,4791,4435,3398,4564,3609,3167,4254,4606,5601
ENSG00000070886,4,5,1,9,3,0,0,3,2,7,0,6,0,3
ENSG00000173372,42855.5,43700.6667,43606.8333,37123.3333,29371.1667,45370.5,32074,40846.5,39734.6667,92825.5,30467.5833,47713.5,35738,51145
ENSG00000289692,27912.3333,25941.6667,28448.8333,18188.3333,18524.8333,28447,20652,18230.8333,27906.1667,59628,11977,22848.5,24525.5,35260
ENSG00000159189,97785.6667,89614.8333,114779,66798.8333,60392.3333,111018.3333,100108.1667,54725,80705,131029.1667,51029.5,63365.1667,73893.3333,96451.5
ENSG00000173369,28817.1667,22737.6667,28968.6667,13579.1667,18162.6667,26694.3333,22915.6667,12723.6667,23649.6667,25651.5,10727,13598.3333,21462.6667,29394.8333
ENSG00000131914,9,5,9,0,5,7,8,7,25,5.5,2,0,3,11.5
ENSG00000132763,1552,1318,1473,768,1310,1323,1411,1319,1581,2507.3333,875,1372,1335,1861
