Gene,Symbol_donor1_rep1,t_0m_nascent_readcount_donor1_rep1,t_15m_nascent_readcount_donor1_rep1,t_30m_nascent_readcount_donor1_rep1,t_60m_nascent_readcount_donor1_rep1,t_90m_nascent_readcount_donor1_rep1,t_105m_nascent_readcount_donor1_rep1,t_120m_nascent_readcount_donor1_rep1,Symbol_donor1_rep2,t_0m_nascent_readcount_donor1_rep2,t_15m_nascent_readcount_donor1_rep2,t_30m_nascent_readcount_donor1_rep2,t_60m_nascent_readcount_donor1_rep2,t_90m_nascent_readcount_donor1_rep2,t_105m_nascent_readcount_donor1_rep2,t_120m_nascent_readcount_donor1_rep2
ENSG00000161179,YDJC,2.888,0.8687999999999999,5.1191,1.4535,0.4248,4.2693,1.0992,YDJC,1.5239999999999998,5.5167,11.4436,0,2.176,4.1419,5.3256
ENSG00000100027,YPEL1,0.7832,0,0,2.8542,0.975,0.357,0.5192,YPEL1,0,0,6.3168,6.0208,0,0,0.912
ENSG00000100347,SAMM50,0,1.2078,1.7339999999999998,0,0,0.3756,2.73,SAMM50,1.25015,4.1956,0,4.926,0,0,1.8444
ENSG00000188677,PARVB,6.736300000000001,3.7772,8.268,6.36525,1.7381,0,0.8724,PARVB,1.43175,5.1402,4.9,0.801,8.2432,4.4748,6.602
ENSG00000138964,PARVG,16.3268,12.9098,10.995,3.3418,0,6.5911,18.9771,PARVG,4.158,9.9246,3.61515,3.5326,19.4104,10.6058,9.4354
ENSG00000186654,PRR5,30.8589,63.299600000000005,49.708,62.977250000000005,24.692500000000003,109.39725,79.49249999999999,PRR5,59.75985,25.83075,65.0997,62.4798,66.89150000000001,93.5946,160.05599999999998
ENSG00000248405,PRR5-ARHGAP8,0,0,0,0,0,1.3719,3.396,PRR5-ARHGAP8,0.5068,1.12,0,0,1.15855,5.0403,9.4317
ENSG00000156256,USP16,12.9008,5.254,12.7776,2.9004000000000003,12.996,6.2513000000000005,6.867999999999999,USP16,5.90135,16.83765,0,11.8456,14.0875,15.1515,14.481599999999998
ENSG00000156265,MAP3K7CL,0,0,0,0,0,0,0.8960999999999999,MAP3K7CL,3.8192,0,0,0,0,0.4802,0
ENSG00000156273,BACH1,264.6714,181.766,231.71391651,204.3983,270.61691681,292.5554,250.2384,BACH1,144.1872,131.09435,47.336,253.8756,176.04296657999998,361.90283313,314.52135
ENSG00000128250,RFPL1,0,NA,NA,NA,NA,NA,NA,RFPL1,NA,NA,NA,NA,NA,0,NA
ENSG00000100285,NEFH,54.64704,115.39116336,182.92056422999997,65.3706,53.4186656,131.14090116,58.86735,NEFH,33.79878591,58.1828,97.40325105,21.66470696,53.0493,44.45865,68.48271
ENSG00000186575,NF2,26.6396,32.004,15.977250000000002,34.301750000000006,14.5578,26.5304,23.839,NF2,37.605,39.4933,68.865,63.446250000000006,18.85335,29.1176,37.9405
ENSG00000100314,CABP7,NA,NA,0,NA,NA,NA,NA,CABP7,NA,NA,0,NA,NA,NA,NA
ENSG00000184076,UQCR10,0,3.447,0.2499,0,1.119,1.0088,0,UQCR10,0.8387999999999999,0,0,0,6.3872,5.5032,1.1936
ENSG00000099904,ZDHHC8,16.85775,37.2104,24.576,19.4721,14.3892,24.2062,26.3457,ZDHHC8,21.2576,8.68935,2.8728,18.1823,12.9639,25.5576,13.6224
