Gene,ENSG,logFC,logCPM,F,PValue,FDR
NA,ENSG00000285382,-0.32909015646647244,2.6653921645095755,1.1121550963190243,0.3126977467045938,0.624143441875077
ZNF250,ENSG00000196150,-0.1942914599861828,2.319884947092375,1.1118863424434915,0.31275372174089294,0.624143441875077
ENSA,ENSG00000143420,0.1463148514453804,6.526281645573274,1.1117122819036367,0.3127898840873052,0.624143441875077
FRS3,ENSG00000137218,-0.22862947971150732,2.1202821900790276,1.111543144029157,0.31282521014629916,0.624143441875077
POTEE,ENSG00000188219,0.36648768085714145,-0.7506909538931865,1.1113552844360126,0.31286669560168734,0.624143441875077
TNFRSF25,ENSG00000215788,0.3381877306612117,-0.34675310256797437,1.1097944119780694,0.31319099976644715,0.624644867532927
AMH,ENSG00000104899,0.7836964808580403,-2.6534218056914627,1.110069245811724,0.3132064485804077,0.624644867532927
RAD50,ENSG00000113522,-0.15950156262866177,6.087107506298405,1.109447146528253,0.31326201057582254,0.6246675227116586
SLC51A,ENSG00000163959,0.2569135411632062,0.8346715735905007,1.1083126738035118,0.3134991970766814,0.6248992953520655
EHD2,ENSG00000024422,0.2699376931893746,0.406956457339261,1.1082443994677065,0.31351367801763724,0.6248992953520655
SGK1,ENSG00000118515,0.1653928887966103,4.371057222522599,1.1081935788081612,0.3135237306495048,0.6248992953520655
SAFB2,ENSG00000130254,0.1393800828707101,6.585153656314785,1.1080433429470233,0.3135551162851328,0.6248992953520655
SMIM27,ENSG00000235453,0.2608963768053583,0.46117781965515214,1.1073607188271455,0.3136983088824854,0.6250342597362928
PAQR7,ENSG00000182749,-0.2878893279142326,0.054131943179231486,1.1069077779836916,0.3137933654674708,0.6250342597362928
YTHDC1,ENSG00000083896,0.14364046375206557,6.387332097923244,1.106597729825635,0.3138573592042105,0.6250342597362928
SEC14L2,ENSG00000100003,0.3755986931962914,-0.883730499168901,1.1062379184007867,0.31393565414078445,0.6250342597362928
CPNE3,ENSG00000085719,-0.15773383066128524,4.738987373309639,1.1057864103592967,0.3140271688028396,0.6250342597362928
PLA2G4C,ENSG00000105499,0.14509921527519282,5.417119669165637,1.1057098390160736,0.31404320138892006,0.6250342597362928
KMT2C,ENSG00000055609,0.15441410054679247,9.028773546876087,1.1053801649302988,0.3141122440621759,0.6250342597362928
EEF1AKMT4,ENSG00000284753,-0.33356194054143046,-0.43865278541703934,1.1053756487152064,0.3141148520306246,0.6250342597362928
AREG,ENSG00000109321,0.7577038798505997,-2.669848070353069,1.1057434119885747,0.31411553115327745,0.6250342597362928
HNRNPUL2-BSCL2,ENSG00000234857,-0.14845138704810218,6.96810443233887,1.1052406628930405,0.3141414662348685,0.6250342597362928
MMUT,ENSG00000146085,-0.2021222655260058,3.913294758020259,1.1050869219073685,0.3141736781658088,0.6250342597362928
AHCY,ENSG00000101444,0.19234917573384044,4.9863657844440965,1.1050337116168505,0.3141848249542803,0.6250342597362928
GLB1,ENSG00000170266,0.14785320709627484,6.519373555914345,1.104971762125119,0.31419780506415396,0.6250342597362928
TMEM11,ENSG00000178307,0.17622041312786624,3.6492304919169554,1.103289888561353,0.3145505131000525,0.62564783267135
NACC2,ENSG00000148411,-0.1910718428079442,5.451042603644546,1.102516957675496,0.31471278922374546,0.6258825129904265
TMCO1,ENSG00000143183,0.15680098727743397,5.4345715862361015,1.101905326096453,0.3148412879055474,0.625986556999671
TFCP2,ENSG00000135457,-0.1479400602392208,5.432363865153673,1.1015702807330972,0.31491170978618677,0.625986556999671
KHK,ENSG00000138030,-0.5479985596012774,-1.9126422010914315,1.1016231562226868,0.3149204358740555,0.625986556999671
ENTPD7,ENSG00000198018,-0.15153482881211386,5.326368298802783,1.1012524158675412,0.3149785413366395,0.625986556999671
ZNF302,ENSG00000089335,-0.17489509481641044,4.066123171623718,1.1008477451827576,0.31506365484087623,0.625986556999671
SLC25A44,ENSG00000160785,-0.14369661371949177,5.8830119038148165,1.1004163633051487,0.3151544186690069,0.625986556999671
ADGRG3,ENSG00000182885,0.5238406585011832,-1.6985490327975048,1.100305874451216,0.3151901060400124,0.625986556999671
C4orf36,ENSG00000285458,0.33985251596929933,0.24221610732771104,1.1002097545025165,0.3151985789509954,0.625986556999671
ATF7,ENSG00000170653,0.17974692398625725,6.631906677416193,1.100137482615925,0.31521311683004755,0.625986556999671
MOCOS,ENSG00000075643,-0.4828350934277698,-1.4227220024974279,1.100030464989339,0.3152429819948792,0.625986556999671
PXMP2,ENSG00000176894,-0.4663893623931841,-1.6911417435563625,1.1000073948361357,0.31525235820596226,0.625986556999671
MLST8,ENSG00000167965,0.1690122194698924,4.167962970375763,1.0996493319054437,0.3153159011004429,0.6260247702095334
AARSD1,ENSG00000266967,-0.19938591294899224,2.3558917208303884,1.098681449302125,0.3155199068647131,0.6262681644241168
